Temperature,Humidity,Leaf_Color,Leaf_Spot,Leaf_Curl,Disease
31,53,Brown,Yes,Yes,Rust
31,89,Brown,No,Yes,Rust
27,95,Green,Yes,No,Powdery Mildew
20,51,Brown,No,No,Rust
27,57,Green,Yes,No,Powdery Mildew
21,94,Yellow,Yes,Yes,Leaf Spot
34,62,Yellow,Yes,Yes,Leaf Spot
20,82,Green,No,No,Healthy
28,95,Green,No,No,Healthy
36,65,Brown,No,Yes,Rust
23,56,Green,No,Yes,Healthy
23,78,Yellow,No,No,Powdery Mildew
33,78,Brown,Yes,No,Rust
38,52,Yellow,Yes,No,Leaf Spot
20,73,Brown,Yes,No,Rust
33,44,Brown,No,No,Rust
23,86,Yellow,No,No,Powdery Mildew
30,65,Brown,No,Yes,Rust
26,66,Brown,No,Yes,Rust
38,59,Yellow,Yes,No,Leaf Spot
29,53,Yellow,No,No,Powdery Mildew
34,68,Brown,Yes,No,Rust
25,82,Green,No,No,Healthy
22,92,Green,No,Yes,Healthy
26,49,Green,Yes,Yes,Early Blight
35,79,Green,No,No,Healthy
38,52,Brown,No,No,Rust
32,55,Green,Yes,Yes,Early Blight
33,54,Green,No,Yes,Healthy
37,55,Green,No,Yes,Healthy
34,82,Brown,No,No,Rust
36,67,Brown,No,Yes,Rust
35,68,Yellow,Yes,No,Leaf Spot
36,71,Brown,Yes,No,Rust
34,44,Brown,No,Yes,Rust
28,61,Yellow,Yes,Yes,Leaf Spot
24,54,Yellow,Yes,Yes,Leaf Spot
22,66,Yellow,No,No,Powdery Mildew
33,43,Green,No,No,Healthy
38,84,Green,No,No,Healthy
20,62,Yellow,No,No,Powdery Mildew
37,87,Brown,Yes,No,Rust
27,57,Yellow,No,Yes,Early Blight
32,61,Brown,No,Yes,Rust
34,48,Brown,Yes,No,Rust
38,76,Brown,Yes,Yes,Rust
33,48,Yellow,Yes,Yes,Leaf Spot
28,64,Yellow,Yes,No,Leaf Spot
30,61,Yellow,No,No,Powdery Mildew
28,93,Green,No,Yes,Healthy
37,43,Yellow,Yes,Yes,Leaf Spot
21,88,Green,Yes,Yes,Early Blight
20,79,Green,Yes,Yes,Early Blight
35,82,Green,Yes,No,Powdery Mildew
28,89,Yellow,Yes,Yes,Leaf Spot
25,59,Green,Yes,No,Powdery Mildew
38,83,Yellow,No,Yes,Early Blight
22,77,Brown,Yes,Yes,Rust
29,94,Brown,Yes,Yes,Rust
31,74,Yellow,No,Yes,Early Blight
36,81,Yellow,Yes,No,Leaf Spot
35,46,Yellow,No,No,Powdery Mildew
24,67,Green,No,No,Healthy
34,67,Brown,No,No,Rust
27,93,Green,No,No,Healthy
27,88,Yellow,No,No,Powdery Mildew
20,71,Yellow,Yes,No,Leaf Spot
26,62,Yellow,No,No,Powdery Mildew
28,75,Green,Yes,Yes,Early Blight
27,86,Yellow,No,Yes,Early Blight
35,81,Brown,No,No,Rust
20,45,Yellow,Yes,No,Leaf Spot
27,59,Brown,No,No,Rust
37,73,Yellow,No,No,Powdery Mildew
31,84,Yellow,No,No,Powdery Mildew
28,54,Green,Yes,No,Powdery Mildew
23,87,Brown,Yes,Yes,Rust
26,87,Yellow,No,No,Powdery Mildew
23,93,Green,No,Yes,Healthy
31,51,Yellow,Yes,Yes,Leaf Spot
28,42,Green,No,Yes,Healthy
35,46,Green,No,No,Healthy
35,68,Yellow,Yes,Yes,Leaf Spot
28,95,Yellow,Yes,Yes,Leaf Spot
32,71,Green,Yes,Yes,Early Blight
24,91,Brown,No,Yes,Rust
27,47,Brown,No,Yes,Rust
36,64,Yellow,No,No,Powdery Mildew
38,67,Yellow,Yes,Yes,Leaf Spot
26,80,Green,No,Yes,Healthy
25,55,Green,Yes,Yes,Early Blight
20,66,Yellow,No,No,Powdery Mildew
21,54,Yellow,No,No,Powdery Mildew
22,83,Green,No,Yes,Healthy
33,47,Brown,Yes,Yes,Rust
28,92,Green,Yes,Yes,Early Blight
25,90,Yellow,No,No,Powdery Mildew
23,69,Brown,No,No,Rust
28,72,Brown,No,No,Rust
22,78,Green,No,No,Healthy
28,41,Green,Yes,Yes,Early Blight
28,76,Green,Yes,No,Powdery Mildew
36,81,Yellow,No,Yes,Early Blight
38,67,Brown,No,Yes,Rust
35,62,Yellow,No,No,Powdery Mildew
23,94,Green,No,No,Healthy
35,58,Brown,No,Yes,Rust
34,45,Yellow,No,No,Powdery Mildew
23,89,Yellow,Yes,No,Leaf Spot
33,43,Green,No,No,Healthy
34,88,Green,Yes,No,Powdery Mildew
37,48,Yellow,No,No,Powdery Mildew
23,41,Brown,Yes,Yes,Rust
29,75,Green,No,Yes,Healthy
27,93,Green,No,Yes,Healthy
24,71,Brown,No,No,Rust
33,93,Yellow,No,Yes,Early Blight
34,75,Green,No,Yes,Healthy
36,87,Green,Yes,No,Powdery Mildew
33,61,Brown,No,Yes,Rust
29,86,Yellow,No,Yes,Early Blight
34,74,Yellow,No,No,Powdery Mildew
37,88,Brown,No,No,Rust
30,95,Green,Yes,No,Powdery Mildew
27,94,Yellow,Yes,No,Leaf Spot
